"pre","post","ACD_avg","ACD_max","ACD_sum","FOUT_avg","FOUT_max","FOUT_sum","MLOC_avg","MLOC_max","MLOC_sum","NBD_avg","NBD_max","NBD_sum","NOCU","NOF_avg","NOF_max","NOF_sum","NOI_avg","NOI_max","NOI_sum","NOM_avg","NOM_max","NOM_sum","NOT_avg","NOT_max","NOT_sum","NSF_avg","NSF_max","NSF_sum","NSM_avg","NSM_max","NSM_sum","PAR_avg","PAR_max","PAR_sum","TLOC_avg","TLOC_max","TLOC_sum","VG_avg","VG_max","VG_sum"
0,"0",0,0,0,0.25,6,13,0.403846153846154,10,21,0.0576923076923077,1,3,3,0,0,0,0.666666666666667,1,2,8.16666666666667,27,49,0.333333333333333,1,1,0.333333333333333,2,2,0.5,3,3,0.634615384615385,7,33,33.6666666666667,60,101,0.134615384615385,3,7
31,"1",0.157894736842105,1,3,5.03488372093023,72,1299,8.69767441860465,84,2244,1.72093023255814,7,444,19,4.25,15,85,0.0526315789473684,1,1,11.5,49,230,0.947368421052632,1,18,4.35,40,87,1.4,12,28,0.817829457364341,7,211,163.315789473684,766,3103,3.31782945736434,22,856
3,"0",0,0,0,3.38461538461538,19,88,9.07692307692308,66,236,1.57692307692308,4,41,4,5.5,13,22,0.5,1,2,6.25,16,25,0.5,1,2,4.75,6,19,0.25,1,1,0.730769230769231,5,19,87.75,235,351,3.15384615384615,15,82
0,"0",0.571428571428571,5,12,3.08571428571429,37,864,6.08928571428571,62,1705,1.60357142857143,5,449,21,1.45454545454545,8,48,0.380952380952381,1,8,8.09090909090909,55,267,0.619047619047619,1,13,2.21212121212121,29,73,0.393939393939394,6,13,1.06785714285714,4,299,125.904761904762,742,2644,2.23214285714286,18,625
0,"0",0,0,0,5.68421052631579,33,108,9,32,171,2.31578947368421,5,44,3,0,0,0,0,0,0,3.33333333333333,8,10,1,1,3,7,10,21,3,6,9,1.15789473684211,3,22,87.6666666666667,136,263,3.15789473684211,10,60
0,"0",0,0,0,1.9,10,38,7.55,43,151,1.8,4,36,2,2.66666666666667,8,8,0,0,0,5.33333333333333,13,16,1,1,2,0.666666666666667,2,2,1.33333333333333,3,4,1.2,5,24,113,210,226,2.85,14,57
0,"0",1.08333333333333,10,26,3.67873303167421,59,813,5.91402714932127,144,1307,1.26696832579186,5,280,24,2.13333333333333,13,64,0.0833333333333333,1,2,6.8,43,204,0.916666666666667,1,22,0.366666666666667,6,11,0.366666666666667,5,11,0.841628959276018,6,186,87.9166666666667,397,2110,1.710407239819,17,378
0,"0",0.4,1,2,2.29411764705882,41,156,3.57352941176471,57,243,1.19117647058824,3,81,5,3.6,9,18,0,0,0,13.6,29,68,1,1,5,0.2,1,1,0,0,0,0.647058823529412,5,44,92.8,199,464,1.58823529411765,7,108
0,"0",0.25,2,7,4.49180327868852,128,1370,7.4327868852459,117,2267,1.62295081967213,6,495,28,1.61764705882353,10,55,0.0357142857142857,1,1,8,50,272,0.964285714285714,1,27,1.44117647058824,23,49,0.970588235294118,20,33,1.02622950819672,6,313,117.571428571429,613,3292,2.8983606557377,60,884
0,"0",2.375,16,19,8.55421686746988,227,710,15.5903614457831,415,1294,1.73493975903614,6,144,8,4.64285714285714,37,65,0,0,0,5,16,70,1.375,4,11,2.07142857142857,19,29,0.928571428571429,5,13,0.951807228915663,6,79,212.25,1066,1698,2.43373493975904,19,202
0,"0",0.333333333333333,1,1,6.25531914893617,34,294,10.1276595744681,56,476,1.87234042553191,6,88,3,3.6,15,18,0,0,0,8.6,39,43,1,1,3,4.8,20,24,0.8,3,4,1.27659574468085,5,60,217.666666666667,607,653,3.4468085106383,21,162
0,"0",0.333333333333333,1,1,5.36842105263158,22,102,9.89473684210526,37,188,1.94736842105263,5,37,3,3.33333333333333,5,10,0.333333333333333,1,1,6.33333333333333,15,19,0.666666666666667,1,2,3.33333333333333,8,10,0,0,0,0.894736842105263,3,17,100,208,300,2.26315789473684,8,43
11,"1",1.22222222222222,4,11,6.08333333333333,65,1095,9.17222222222222,99,1651,1.75555555555556,6,316,9,5.36363636363636,11,59,0,0,0,16,29,176,1,1,9,1,3,11,0.0909090909090909,1,1,0.633333333333333,2,114,270.222222222222,432,2432,2.28333333333333,12,411
10,"1",0.0434782608695652,1,1,3.96402877697842,21,551,5.53237410071942,37,769,1.52517985611511,6,212,23,2.43478260869565,8,56,0,0,0,4.8695652173913,22,112,1,1,23,0.304347826086957,5,7,1.04347826086957,11,24,1.29496402877698,5,180,60.9130434782609,300,1401,1.79136690647482,7,249
37,"1",0.818181818181818,9,45,5.94003868471954,125,3071,9.33462282398453,129,4826,1.87814313346228,6,971,55,1.92307692307692,14,125,0.0545454545454545,1,3,6.78461538461538,67,441,0.945454545454545,1,52,2.93846153846154,84,191,1.16923076923077,16,76,1.06382978723404,8,550,130.090909090909,1408,7155,2.78336557059961,37,1439
41,"1",0.418604651162791,3,36,4.27306967984934,51,2269,7.34086629001883,102,3898,1.92467043314501,11,1022,86,1.08888888888889,11,98,0,0,0,5.71111111111111,69,514,1,1,86,0.122222222222222,4,11,0.177777777777778,6,16,0.962335216572505,7,511,74.4302325581395,635,6401,2.4406779661017,22,1296
2,"0",0.6,1,3,4.84210526315789,30,184,8.3421052631579,55,317,1.86842105263158,7,71,5,1.6,6,8,0,0,0,7.2,20,36,1,1,5,1.6,6,8,0.4,1,2,0.710526315789474,2,27,105.6,294,528,2.36842105263158,12,90
5,"0",0.0833333333333333,1,1,2.12727272727273,12,234,4.51818181818182,29,497,1.55454545454545,5,171,12,1.25,5,15,0.0833333333333333,1,1,9.08333333333333,25,109,0.916666666666667,1,11,0.333333333333333,2,4,0.0833333333333333,1,1,0.736363636363636,5,81,69.0833333333333,177,829,1.91818181818182,10,211
4,"1",0,0,0,4.28205128205128,24,167,11.2564102564103,57,439,2.07692307692308,7,81,8,2.33333333333333,8,21,0,0,0,4.22222222222222,10,38,1,1,8,0.333333333333333,2,3,0.111111111111111,1,1,1.02564102564103,5,40,78.125,251,625,3.92307692307692,23,153
7,"1",0.454545454545455,4,5,4.81111111111111,62,433,7.11111111111111,50,640,1.68888888888889,5,152,11,1.83333333333333,9,22,0.0909090909090909,1,1,7.33333333333333,26,88,0.909090909090909,1,10,0.25,2,3,0.166666666666667,1,2,0.866666666666667,3,78,95.0909090909091,354,1046,2.21111111111111,13,199
9,"1",3.16666666666667,19,38,5.89261744966443,66,878,9.7248322147651,119,1449,1.8993288590604,6,283,12,3.78571428571429,13,53,0.0833333333333333,1,1,10.5714285714286,37,148,0.916666666666667,1,11,0.357142857142857,2,5,0.0714285714285714,1,1,0.718120805369127,6,107,174.25,649,2091,2.23489932885906,14,333
12,"1",0.515151515151515,2,17,5.07389162561576,62,1030,8.81773399014778,90,1790,1.82758620689655,6,371,33,1.12820512820513,9,44,0.0606060606060606,1,2,4.82051282051282,18,188,0.939393939393939,1,31,0.230769230769231,2,9,0.384615384615385,9,15,1.01477832512315,4,206,86.4242424242424,257,2852,2.50246305418719,26,508
5,"0",0.5,4,8,3.5,41,406,7.43965517241379,66,863,1.81896551724138,7,211,16,1.52173913043478,6,35,0,0,0,4.95652173913043,25,114,1,1,16,0.434782608695652,3,10,0.0869565217391304,1,2,0.896551724137931,4,104,82.75,280,1324,2.50862068965517,16,291
9,"1",2.1,11,21,6.39622641509434,47,678,10.7641509433962,78,1141,1.9811320754717,7,210,10,3.53333333333333,13,53,0,0,0,7,22,105,1,1,10,0.533333333333333,2,8,0.0666666666666667,1,1,0.820754716981132,3,87,165.9,470,1659,2.57547169811321,11,273
18,"0",0.916666666666667,17,22,5.29411764705882,47,1080,8.61764705882353,74,1758,1.9656862745098,10,401,24,2.2962962962963,18,62,0.0416666666666667,1,1,6.88888888888889,69,186,0.958333333333333,1,23,0.407407407407407,4,11,0.666666666666667,9,18,0.676470588235294,4,138,111.5,1106,2676,2.55882352941176,23,522
2,"0",0,0,0,4.45833333333333,28,107,9.54166666666667,41,229,2.125,5,51,6,0.142857142857143,1,1,0,0,0,3.28571428571429,5,23,1,1,6,0.285714285714286,2,2,0.142857142857143,1,1,1.54166666666667,3,37,61.6666666666667,171,370,3.04166666666667,13,73
5,"1",0.166666666666667,1,1,2.91803278688525,15,178,5.04918032786885,26,308,1.37704918032787,4,84,6,1.57142857142857,6,11,0,0,0,4.85714285714286,11,34,1,1,6,7.42857142857143,45,52,3.85714285714286,24,27,0.770491803278688,4,47,94.1666666666667,294,565,1.78688524590164,4,109
2,"1",0.263157894736842,2,5,1.6712962962963,19,361,3.72222222222222,41,804,1.31944444444444,5,285,19,2,10,40,0.263157894736842,1,5,10.1,56,202,0.736842105263158,1,14,0.25,2,5,0.7,14,14,0.717592592592593,5,155,75.2631578947368,242,1430,1.59259259259259,10,344
0,"1",0,0,0,2.38461538461538,11,124,5.30769230769231,14,276,1.5,3,78,7,1.28571428571429,3,9,0,0,0,6.57142857142857,18,46,1,1,7,2,10,14,0.857142857142857,6,6,1.21153846153846,3,63,64.4285714285714,157,451,2.44230769230769,7,127
1,"1",3,5,6,8.90476190476191,35,187,12,59,252,1.57142857142857,3,33,2,5.5,10,11,0,0,0,10.5,13,21,1,1,2,1,2,2,0,0,0,0.523809523809524,2,11,172.5,265,345,1.38095238095238,3,29
2,"1",0.333333333333333,1,2,8.25,26,198,11.7916666666667,48,283,1.91666666666667,5,46,6,0,0,0,0,0,0,4,7,24,1,1,6,0,0,0,0,0,0,1.20833333333333,3,29,69.6666666666667,117,418,2.875,9,69
2,"1",0.333333333333333,2,2,6.45161290322581,36,200,11.8387096774194,70,367,1.51612903225806,4,47,6,3.66666666666667,7,22,0,0,0,4.83333333333333,8,29,1,1,6,0,0,0,0.333333333333333,2,2,0.967741935483871,3,30,84.3333333333333,202,506,2.16129032258065,7,67
0,"0",1.5,3,3,5.45454545454545,17,120,8.27272727272727,30,182,1.36363636363636,3,30,2,0.5,1,1,0,0,0,5.5,11,11,1,1,2,0.5,1,1,5.5,11,11,1.63636363636364,5,36,139,155,278,1.68181818181818,8,37
12,"1",1.23076923076923,12,16,6.80672268907563,51,810,11.4789915966387,81,1366,1.64705882352941,5,196,13,2.88235294117647,25,49,0.0769230769230769,1,1,6.94117647058824,40,118,0.923076923076923,1,12,0.411764705882353,3,7,0.0588235294117647,1,1,0.798319327731092,4,95,142.153846153846,1000,1848,2.68067226890756,14,319
17,"1",2.38461538461538,21,62,6.47131147540984,54,1579,11.5122950819672,113,2809,1.77868852459016,6,434,26,2.14583333333333,18,103,0.0769230769230769,1,2,4.91666666666667,22,236,0.923076923076923,1,24,0.5,7,24,0.166666666666667,6,8,0.852459016393443,5,208,148.384615384615,702,3858,2.57377049180328,16,628
1,"0",0,0,0,2.5,3,5,3.5,4,7,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,1,1,2,19,19,19,1,1,2
5,"1",1.21739130434783,15,28,2.72052401746725,40,623,6.17903930131004,104,1415,1.39737991266376,7,320,23,3.11111111111111,26,84,0.478260869565217,1,11,7.62962962962963,35,206,0.521739130434783,1,12,1,8,27,0.814814814814815,17,22,0.934497816593886,9,214,98,713,2254,2.25764192139738,23,517
6,"1",7,28,35,7.2654028436019,104,1533,14.9763033175355,141,3160,1.89099526066351,7,399,5,10.1666666666667,72,122,0.6,1,3,16.8333333333333,104,202,0.4,1,2,2,17,24,0.75,9,9,1.44075829383886,14,304,768,3206,3840,4.86729857819905,40,1027
5,"0",0.410714285714286,4,23,3.6030701754386,48,1643,7.76754385964912,85,3542,1.64254385964912,6,749,56,2.16176470588235,11,147,0.0892857142857143,1,5,5.5,42,374,0.910714285714286,1,51,1.60294117647059,33,109,1.20588235294118,32,82,1.18640350877193,7,541,91.3214285714286,769,5114,2.77850877192982,28,1267
0,"0",0,0,0,3,18,24,7.75,42,62,1.625,4,13,3,0.333333333333333,1,1,0,0,0,2.33333333333333,5,7,1,1,3,0.666666666666667,2,2,0.333333333333333,1,1,2.375,9,19,36.6666666666667,61,110,2.75,12,22
4,"0",1.9,9,19,7.21186440677966,55,851,15.0932203389831,93,1781,2.16949152542373,8,256,10,4.08333333333333,9,49,0,0,0,9.5,31,114,1,1,10,1.25,6,15,0.333333333333333,2,4,0.991525423728814,5,117,221.1,809,2211,4.17796610169492,30,493
0,"0",0,0,0,2.71428571428571,26,114,6.76190476190476,57,284,1.33333333333333,5,56,5,2.4,7,12,0.2,1,1,5.8,14,29,0.8,1,4,2,7,10,2.6,13,13,1.61904761904762,7,68,83,279,415,2.57142857142857,25,108
1,"0",0.769230769230769,7,10,2.15894039735099,34,326,6.23841059602649,68,942,1.44370860927152,6,218,13,2.22222222222222,12,40,0.461538461538462,1,6,8.33333333333333,24,150,0.538461538461538,1,7,0.722222222222222,10,13,0.0555555555555556,1,1,1.09933774834437,6,166,105.153846153846,424,1367,2.57615894039735,23,389
0,"0",0,0,0,0.777777777777778,6,49,1.6984126984127,11,107,0.904761904761905,3,57,9,1,3,11,0.555555555555556,1,5,5.09090909090909,13,56,0.444444444444444,1,4,1.27272727272727,8,14,0.636363636363636,7,7,0.777777777777778,4,49,33.3333333333333,101,300,0.936507936507937,4,59
0,"0",0.333333333333333,1,1,6.36363636363636,25,70,6.81818181818182,22,75,1.81818181818182,4,20,3,1.25,2,5,0,0,0,2.75,4,11,1,1,3,0,0,0,0,0,0,0.818181818181818,3,9,46.3333333333333,72,139,2,5,22
0,"0",0.642857142857143,2,9,3.81481481481481,32,515,5.52592592592593,39,746,1.71111111111111,7,231,14,2.47058823529412,10,42,0.142857142857143,1,2,7.35294117647059,26,125,0.857142857142857,1,12,1.29411764705882,7,22,0.529411764705882,7,9,0.718518518518519,3,97,92.2857142857143,264,1292,1.9037037037037,10,257
0,"1",0,0,0,3.22695035460993,36,455,17.3758865248227,299,2450,1.8936170212766,6,267,10,8.84615384615385,39,115,0.1,1,1,10.2307692307692,54,133,0.9,1,9,1.38461538461538,8,18,0.615384615384615,3,8,1.21985815602837,7,172,334.5,1675,3345,5.78723404255319,122,816
0,"0",0.0555555555555556,1,1,5.64248704663212,40,1089,6.94300518134715,50,1340,1.52331606217617,5,294,18,2.65,13,53,0.166666666666667,1,3,7.2,27,144,0.833333333333333,1,15,10.95,91,219,2.45,21,49,0.979274611398964,7,189,118.166666666667,353,2127,2.34715025906736,10,453
0,"0",0,0,0,4.55882352941176,28,310,6.05882352941176,36,412,1.17647058823529,3,80,8,3.875,12,31,0.125,1,1,8.5,40,68,0.875,1,7,0.125,1,1,0,0,0,2.08823529411765,9,142,76,359,608,1.48529411764706,5,101
0,"0",0,0,0,10.0670731707317,54,1651,10.7073170731707,57,1756,1.73780487804878,5,285,7,6,19,48,0.142857142857143,1,1,20.25,61,162,0.857142857142857,1,6,0.5,2,4,0.25,1,2,1.1219512195122,6,184,317,900,2219,2.95121951219512,14,484
0,"0",0,0,0,7.17307692307692,35,373,8.82692307692308,31,459,1.73076923076923,4,90,4,5.75,7,23,0,0,0,13,16,52,1,1,4,0.75,3,3,0,0,0,0.596153846153846,3,31,156.25,240,625,2.67307692307692,9,139
0,"0",0,0,0,6.58064516129032,37,408,9.83870967741935,43,610,2.04838709677419,5,127,9,1.44444444444444,5,13,0,0,0,5.44444444444444,23,49,1,1,9,0.333333333333333,1,3,1.44444444444444,7,13,0.903225806451613,4,56,93.3333333333333,329,840,3.37096774193548,12,209
0,"0",0,0,0,2.7,26,243,5.45555555555556,75,491,1.48888888888889,4,134,10,2.7,10,27,0,0,0,8.8,19,88,1,1,10,1.8,10,18,0.2,1,2,0.955555555555556,3,86,80.1,188,801,2.02222222222222,18,182
0,"0",0.8,4,8,2.71287128712871,50,274,5.07920792079208,76,513,1.06930693069307,4,108,10,1.64705882352941,6,28,0.5,1,5,5.82352941176471,19,99,0.5,1,5,0.411764705882353,6,7,0.117647058823529,2,2,0.871287128712871,3,88,79.3,507,793,1.4950495049505,9,151
0,"0",1.07142857142857,6,15,3.65258215962441,32,778,8.16431924882629,78,1739,1.71361502347418,6,365,14,5.1,28,102,0.142857142857143,1,2,10.45,65,209,0.857142857142857,1,12,0.85,5,17,0.2,3,4,0.929577464788732,5,198,179.642857142857,836,2515,3.04694835680751,26,649
0,"0",0.241935483870968,5,15,2.31450577663671,33,1803,5.35044929396662,85,4168,1.23106546854942,6,959,62,2.37894736842105,47,226,0.661290322580645,1,41,8.14736842105263,175,774,0.338709677419355,1,21,0.389473684210526,12,37,0.0526315789473684,2,5,0.880616174582799,8,686,98.4354838709677,2611,6103,2.14634146341463,28,1672
0,"0",0.695652173913043,7,16,3.06204379562044,36,839,6.71167883211679,75,1839,1.4014598540146,6,384,23,3.53333333333333,28,106,0.521739130434783,1,12,9.06666666666667,71,272,0.478260869565217,1,11,0.633333333333333,7,19,0.0666666666666667,1,2,0.985401459854015,8,270,116.478260869565,912,2679,2.48905109489051,25,682
0,"0",0,0,0,2.36263736263736,29,215,4.05494505494505,25,369,1.27472527472527,6,116,10,1.4,9,21,0.5,1,5,6.06666666666667,25,91,0.5,1,5,0.4,5,6,0,0,0,1.21978021978022,5,111,62.7,334,627,1.7032967032967,10,155
0,"0",0.166666666666667,1,1,1.8,15,72,3.9,24,156,1.05,3,42,6,1,4,7,0.833333333333333,1,5,5.71428571428571,17,40,0.166666666666667,1,1,0.142857142857143,1,1,0,0,0,0.875,2,35,47.3333333333333,254,284,1.575,8,63
0,"0",0.75,3,3,3.38775510204082,32,332,6.58163265306122,63,645,1.63265306122449,5,160,4,2.58823529411765,21,44,0,0,0,5.70588235294118,35,97,1,1,4,0.470588235294118,4,8,0,0,0,1.21428571428571,5,119,246.5,659,986,2.8265306122449,22,277
0,"0",0,0,0,3.94285714285714,23,138,5.91428571428571,29,207,1.4,5,49,5,2,10,12,0.8,1,4,5.83333333333333,17,35,0.2,1,1,0.166666666666667,1,1,0,0,0,1.2,3,42,67.2,307,336,2.34285714285714,10,82
0,"0",0,0,0,1.92222222222222,21,173,3.91111111111111,46,352,1.22222222222222,5,110,13,1.6,8,24,0.538461538461538,1,7,6,18,90,0.461538461538462,1,6,0.133333333333333,2,2,0,0,0,0.666666666666667,4,60,46.6153846153846,248,606,1.58888888888889,9,143
0,"0",0,0,0,3.22535211267606,51,458,6.37323943661972,88,905,1.45774647887324,5,207,24,2.33333333333333,9,56,0.333333333333333,1,8,5.91666666666667,24,142,0.666666666666667,1,16,0.666666666666667,8,16,0,0,0,1.41549295774648,7,201,57.375,361,1377,2.59859154929577,24,369
0,"0",0.731707317073171,6,30,3.25314183123878,46,1812,6.67504488330341,97,3718,1.40574506283662,7,783,41,2.90769230769231,22,189,0.51219512195122,1,21,8.36923076923077,43,544,0.48780487804878,1,20,0.415384615384615,4,27,0.184615384615385,3,12,1.07719928186715,7,600,133.707317073171,733,5482,2.5278276481149,25,1408
0,"0",0.5,2,5,4.11299435028249,39,728,8.09039548022599,73,1432,1.90960451977401,9,338,10,2.52631578947368,11,48,0.1,1,1,9.31578947368421,65,177,0.9,1,9,0.842105263157895,5,16,0,0,0,1.27118644067797,8,225,204.2,1048,2042,3.03954802259887,23,538
0,"0",0.166666666666667,1,1,2.49206349206349,33,157,4.61904761904762,64,291,1.36507936507937,4,86,6,2.42857142857143,8,17,0,0,0,8.57142857142857,27,60,1,1,6,0.428571428571429,2,3,0.428571428571429,3,3,1.38095238095238,7,87,82.8333333333333,237,497,1.71428571428571,11,108
0,"0",0,0,0,4.61224489795918,49,226,6,56,294,1.53061224489796,4,75,4,2.5,6,10,0,0,0,11.5,19,46,1,1,4,2.5,8,10,0.75,3,3,1.08163265306122,3,53,117.75,219,471,2.46938775510204,12,121
19,"1",0.0540540540540541,1,2,5.93770491803279,84,1811,9.5672131147541,137,2918,1.9672131147541,9,600,37,1.075,5,43,0,0,0,6.45,33,258,1,1,37,0.425,7,17,1.175,17,47,0.983606557377049,4,300,114.513513513514,616,4237,3.00327868852459,28,916
0,"0",0,0,0,11,11,11,7,7,7,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,12,12,12,1,1,1
17,"1",0.0416666666666667,1,1,3.2755905511811,35,832,6.2755905511811,85,1594,1.46850393700787,8,373,24,1.24,9,31,0.458333333333333,1,11,6.96,31,174,0.541666666666667,1,13,3.76,59,94,3.2,76,80,0.874015748031496,4,222,101.791666666667,1013,2443,2.12204724409449,21,539
1,"1",0,0,0,6.04054054054054,40,447,9.83783783783784,57,728,2.14864864864865,7,159,8,1,3,8,0.125,1,1,8.25,15,66,0.875,1,7,0.25,1,2,1,6,8,0.837837837837838,2,62,132.375,424,1059,3.08108108108108,19,228
6,"0",0,0,0,3.18918918918919,17,118,5.89189189189189,39,218,1.89189189189189,9,70,6,1.16666666666667,3,7,0,0,0,6.16666666666667,9,37,1,1,6,0.833333333333333,1,5,0,0,0,0.405405405405405,2,15,66.3333333333333,116,398,2.18918918918919,11,81
30,"1",0,0,0,0.439293598233996,13,199,1.15011037527594,40,521,0.282560706401766,4,128,89,0.266666666666667,8,24,0.910112359550562,1,81,4.91111111111111,46,442,0.0898876404494382,1,8,2.55555555555556,97,230,0.122222222222222,6,11,0.759381898454746,5,344,19.1123595505618,254,1701,0.463576158940397,12,210
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,0,0,0
7,"1",3.55,56,71,3.20873786407767,26,661,5.4126213592233,35,1115,1.51941747572816,5,313,20,2.19047619047619,8,46,0,0,0,6.47619047619048,15,136,1,1,20,3.52380952380952,56,74,0.142857142857143,2,3,0.966019417475728,4,199,99.45,711,1989,1.8252427184466,8,376
6,"0",0,0,0,0.717948717948718,18,56,1.74358974358974,30,136,0.525641025641026,3,41,19,1.15789473684211,7,22,0.684210526315789,1,13,3.73684210526316,9,71,0.315789473684211,1,6,0,0,0,0.368421052631579,7,7,0.58974358974359,7,46,19.2631578947368,88,366,0.743589743589744,11,58
9,"0",0,0,0,0.492957746478873,14,35,1.56338028169014,35,111,0.422535211267606,4,30,4,0.5,2,2,0.75,1,3,17.75,31,71,0.25,1,1,1.5,4,6,0,0,0,0.633802816901408,3,45,54.75,144,219,0.535211267605634,9,38
2,"0",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,6.5,7,13,0,0,0,0,0,0,9.5,10,19,0,0,0
4,"1",0.04,1,1,0.552845528455285,14,68,2.04878048780488,34,252,0.650406504065041,5,80,25,1.92,11,48,0.48,1,12,4.92,16,123,0.52,1,13,0.48,5,12,0,0,0,0.650406504065041,11,80,25,104,625,0.910569105691057,11,112
3,"1",0,0,0,0.434782608695652,10,20,1.84782608695652,20,85,0.608695652173913,3,28,10,1.7,7,17,0.5,1,5,4.6,9,46,0.5,1,5,0.8,6,8,0,0,0,0.739130434782609,5,34,22.4,79,224,0.804347826086957,8,37
